8	-2.250	-0.008	0.054	0.255	-1.050	0.000	0.070	0.278	7.108000	0.041000
10	-2.322	-0.161	0.025	0.201	-1.501	0.000	0.065	0.254	8.511000	0.025000
12	-2.335	-0.479	0.020	0.175	-1.752	0.000	0.060	0.234	5.118000	0.025000
14	-2.335	-0.806	0.019	0.164	-1.845	0.000	0.051	0.204	7.335000	0.030000
16	-2.337	-1.016	0.018	0.159	-1.862	0.000	0.026	0.149	9.938000	0.034000
18	0.000	-1.099	0.017	0.155	-1.862	-0.057	0.000	0.103	12.568000	0.040000
20	-2.341	-1.114	0.017	0.152	-1.866	-0.153	0.000	0.089	16.160000	0.045000
22	-2.341	-1.114	0.017	0.151	-1.872	-0.197	0.000	0.085	20.428000	0.058000
24	-2.341	-1.120	0.017	0.150	-1.874	-0.203	0.000	0.085	24.395000	0.060000
26	-2.342	-1.127	0.017	0.150	-1.874	-0.204	0.000	0.085	27.893000	0.069000
28	-2.342	-1.130	0.017	0.150	-1.875	-0.209	0.000	0.085	33.030000	0.074000
30	-2.342	-1.130	0.017	0.150	-1.876	-0.215	0.000	0.084	38.901000	0.088000
32	-2.342	-1.131	0.017	0.150	-1.877	-0.217	0.000	0.084	44.539000	0.093000
34	-2.343	-1.133	0.017	0.150	-1.877	-0.217	0.000	0.084	50.847000	0.108000
36	-2.343	-1.134	0.017	0.150	-1.877	-0.218	0.000	0.084	56.738000	0.112000
38	-2.343	-1.134	0.017	0.150	-1.878	-0.220	0.000	0.084	64.399000	0.131000
40	-2.343	-1.134	0.017	0.150	-1.878	-0.221	0.000	0.084	72.174000	0.133000
42	-2.343	-1.135	0.017	0.150	-1.878	-0.221	0.000	0.084	79.767000	0.153000
44	-2.343	-1.135	0.017	0.150	-1.878	-0.221	0.000	0.084	88.047000	0.160000
46	-2.343	-1.136	0.017	0.150	-1.878	-0.222	0.000	0.084	96.889000	0.181000
48	-2.343	-1.136	0.017	0.150	-1.879	-0.222	0.000	0.084	105.732000	0.187000
50	-2.343	-1.136	0.017	0.150	-1.879	-0.222	0.000	0.084	113.135000	0.206000
52	-2.343	-1.136	0.017	0.150	-1.879	-0.222	0.000	0.084	123.761000	0.218000
54	-2.343	-1.136	0.017	0.150	-1.879	-0.223	0.000	0.084	132.725000	0.239000
56	-2.343	-1.136	0.017	0.150	-1.879	-0.223	0.000	0.084	143.276000	0.252000
58	-2.343	-1.136	0.017	0.150	-1.879	-0.223	0.000	0.084	153.931000	0.270000
60	-2.343	-1.136	0.017	0.150	-1.879	-0.223	0.000	0.084	168.586000	0.281000
62	-2.343	-1.137	0.017	0.150	-1.879	-0.223	0.000	0.084	176.888000	0.328000
64	-2.343	-1.137	0.017	0.150	-1.879	-0.223	0.000	0.084	192.370000	0.346000
66	-2.343	-1.137	0.017	0.150	-1.879	-0.223	0.000	0.084	203.079000	0.353000
68	-2.343	-1.137	0.017	0.150	-1.879	-0.223	0.000	0.084	215.486000	0.377000
70	-2.343	-1.137	0.017	0.150	-1.879	-0.223	0.000	0.084	233.380000	0.403000
72	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	245.095000	0.403000
74	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	255.667000	0.440000
76	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	271.062000	0.452000
78	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	284.882000	0.506000
80	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	306.890000	0.505000
82	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	316.131000	0.547000
84	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	333.310000	0.564000
86	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	352.093000	0.612000
88	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	366.168000	0.634000
90	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	387.899000	0.686000
92	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	405.913000	0.717000
94	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	423.795000	0.776000
96	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	436.488000	0.783000
98	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	458.288000	0.847000
100	-2.343	-1.137	0.017	0.150	-1.879	-0.224	0.000	0.084	476.246000	0.870000
